Company Name,Industry,Round/Series,Location,About Company,Cleaned_amount($),Year,Company/Brand,HeadQuarter,Sector,Investor,Amount($),Stage,Company_Name,column10
TheCollegeFever,"Brand Marketing, Event Promotion, Marketing, Sponsorship, Ticketing",Seed,"Bangalore, Karnataka, India","TheCollegeFever is a hub for fun, fiesta and frolic of Colleges.",,2018,,,,,,,,
Happy Cow Dairy,"Agriculture, Farming",Seed,"Mumbai, Maharashtra, India",A startup which aggregates milk from dairy farmers in rural Maharashtra.,,2018,,,,,,,,
MyLoanCare,"Credit, Financial Services, Lending, Marketplace",Series A,"Gurgaon, Haryana, India",Leading Online Loans Marketplace in India,,2018,,,,,,,,
PayMe India,"Financial Services, FinTech",Angel,"Noida, Uttar Pradesh, India",PayMe India is an innovative FinTech organization which offers short term financial suport to corporate employees.,,2018,,,,,,,,
Eunimart,"E-Commerce Platforms, Retail, SaaS",Seed,"Hyderabad, Andhra Pradesh, India",Eunimart is a one stop solution for merchants to create a difference by selling globally.,,2018,,,,,,,,
Hasura,"Cloud Infrastructure, PaaS, SaaS",Seed,"Bengaluru, Karnataka, India","Hasura is a platform that allows developers to build, deploy, and host cloud-native applications quickly.",,2018,,,,,,,,
Tripshelf,"Internet, Leisure, Marketplace",Seed,"Kalkaji, Delhi, India",Tripshelf is an online market place for holiday packages.,,2018,,,,,,,,
Hyperdata.IO,Market Research,Angel,"Hyderabad, Andhra Pradesh, India",Hyperdata combines advanced machine learning with human intelligence.,,2018,,,,,,,,
Freightwalla,"Information Services, Information Technology",Seed,"Mumbai, Maharashtra, India",Freightwalla is an international forwarder thats helps you manage supply chain by providing online tools including instant quotations.,,2018,,,,,,,,
Microchip Payments,Mobile Payments,Seed,"Bangalore, Karnataka, India",Microchip payments is a mobile-based payment application and point-of-sale device,,2018,,,,,,,,
BizCrum Infotech Pvt. Ltd.,"B2B, Shoes",Seed,"Delhi, Delhi, India",Building Transactionary B2B Marketplaces,,2018,,,,,,,,
Emojifi,Internet,Seed,"Bengaluru, Karnataka, India","Emojifi is an app that provides live emoji, stickers & GIFs suggestions based on the typed words across chat platforms.",,2018,,,,,,,,
Flock,"Apps, Collaboration, Developer Platform, Enterprise Software, Messaging, Productivity Tools, Video Chat",Seed,"India, Asia",Flock is a real-time messaging and collaboration app for teams that speeds up and simplifies communication and boosts productivity.,,2018,,,,,,,,
Freshboxx,Food Delivery,Seed,"Hubli, Karnataka, India","Freshboxx is incubated at Sandbox Startups, a unit of the Deshpande Foundation.",,2018,,,,,,,,
Wide Mobility Mechatronics,Industrial Automation,Seed,"Bangalore, Karnataka, India",Wide Mobility Mechatronics is a Private Company limited by Shares,,2018,,,,,,,,
Pitstop,"Automotive, Search Engine, Service Industry",Seed,"Bengaluru, Karnataka, India",Pitstop offers general repair and maintenance services for cars through its doorstep service vehicles.,,2018,,,,,,,,
